tree_dbh,status,health,spc_common,latitude,longitude
13,Alive,Good,yellow,40.82882649,-73.94257923
2,Alive,Poor,yellow,40.87056622,-73.9200217
3,Alive,Fair,yellow,40.8704873,-73.92013588
2,Alive,Fair,yellow,40.82786744,-73.94779277
3,Alive,Good,yellow,40.79398274,-73.94306272
24,Alive,Fair,yellow,40.77588327,-73.94678595
25,Alive,Good,yellow,40.77583919,-73.94668103
3,Alive,Fair,yellow,40.8700897,-73.92071467
3,Alive,Fair,yellow,40.86922352,-73.92175087
2,Alive,Good,yellow,40.82779581,-73.94373879
14,Alive,Good,yellow,40.73850674,-73.98458781
15,Alive,Fair,yellow,40.7386306,-73.9848829
2,Alive,Good,yellow,40.82242433,-73.95064963
5,Alive,Fair,yellow,40.86753647,-73.91867689
11,Alive,Good,yellow,40.73858763,-73.98478053
2,Alive,Good,yellow,40.82246136,-73.95073828
8,Alive,Good,yellow,40.71375084,-73.99024439
4,Alive,Good,yellow,40.71366904,-73.99023199
7,Alive,Fair,yellow,40.86749457,-73.91878956
4,Alive,Good,yellow,40.71383373,-73.99025696
15,Alive,Good,yellow,40.72082331,-73.99398051
13,Alive,Good,yellow,40.78307313,-73.95435568
11,Alive,Good,yellow,40.78302161,-73.95423306
5,Alive,Good,yellow,40.81267242,-73.96024778
8,Alive,Good,yellow,40.86718043,-73.91963899
13,Alive,Good,yellow,40.73413966,-73.98068919
13,Alive,Good,yellow,40.73723826,-73.98531209
14,Alive,Good,yellow,40.7763856,-73.95415512
7,Alive,Good,yellow,40.86685613,-73.92846098
15,Alive,Good,yellow,40.73719735,-73.98521401
20,Alive,Good,yellow,40.81320737,-73.95985631
20,Alive,Fair,yellow,40.77340478,-73.97906045
17,Alive,Fair,yellow,40.81255583,-73.9603331
8,Alive,Good,yellow,40.86713655,-73.91975722
7,Alive,Good,yellow,40.86705072,-73.91998849
6,Alive,Good,yellow,40.86708351,-73.91990014
7,Alive,Good,yellow,40.86702046,-73.92007002
4,Alive,Good,yellow,40.86766549,-73.92730069
11,Alive,Fair,yellow,40.80728439,-73.9669369
10,Alive,Good,yellow,40.80719036,-73.95277283
2,Alive,Fair,yellow,40.75955086,-73.95826733
6,Alive,Good,yellow,40.86744036,-73.91893534
14,Alive,Good,yellow,40.80923385,-73.9554303
14,Alive,Good,yellow,40.73867091,-73.98497894
2,Alive,Good,yellow,40.82524189,-73.94543124
16,Alive,Good,yellow,40.73758957,-74.00714066
18,Alive,Fair,yellow,40.78335098,-73.98278331
17,Alive,Good,yellow,40.78363694,-73.98371923
